Processed Query;Total Tokens;Stop Words;Unknown Words;Method Calls;Verbs;Nouns;Proportion of Verbs;Proportion of Nouns;Likert;Answers;Query Problem
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
add to beginning of list clojure;6;3;0;0;1;3;16.67;50.0;1;5;other language
;;;;;;;;;;;
can we suspend/disable Control-M job for a period of time strictly fro;12;4;0;0;0;5;0.0;41.67;1;5;environment
;;;;;;;;;;;
null pointer exception;3;0;0;0;0;2;0.0;66.67;1;5;too general
;;;;;;;;;;;
how to freeze a table header using jquery;8;3;0;0;2;3;25.0;37.5;1;5;other language
;;;;;;;;;;;
itk image registration how to register;6;2;0;0;1;3;16.67;50.0;1;5;no obvious reason
;;;;;;;;;;;
acknowledge SqsListener message;3;0;0;0;1;2;33.33;66.67;1;10;no obvious reason
;;;;;;;;;;;
502 bad gateway running a jsp on tomcat;8;1;0;0;1;3;12.5;37.5;1;5;debug corrective
;;;;;;;;;;;
delete item from list;4;1;0;0;1;2;25.0;50.0;1;5;no obvious reason
;;;;;;;;;;;
how do I print hello world;6;4;0;0;2;1;33.33;16.67;1;5;no obvious reason
;;;;;;;;;;;
how to remove an element from an array;8;4;0;0;1;2;12.5;25.0;1;10;no obvious reason
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
how to define singleton;4;2;0;0;1;1;25.0;25.0;1;5;no obvious reason
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
how do I add headers to a reponse in flask;10;4;0;0;2;3;20.0;30.0;1;5;other language
;;;;;;;;;;;
Connect Logitech MX Anywhere in Ubuntu;6;1;0;0;1;4;16.67;66.67;1;10;non development
;;;;;;;;;;;
Connect 'Logitech MX Anywhere mouse' in Ubuntu;7;1;0;0;1;5;14.29;71.43;1;10;non development
;;;;;;;;;;;
Check if a user is running IE10;7;2;0;0;3;2;42.86;28.57;1;5;no obvious reason
;;;;;;;;;;;
How to create an interface in typescript;7;3;0;0;1;2;14.29;28.57;1;5;other language
;;;;;;;;;;;
crozier;1;0;0;0;0;1;0.0;100.0;1;5;strange query
;;;;;;;;;;;
how to create singleton class;5;2;0;0;1;2;20.0;40.0;1;1;no obvious reason
;;;;;;;;;;;
keras non trainable parameter;4;1;0;0;0;1;0.0;25.0;1;5;no obvious reason
;;;;;;;;;;;
spring databuffer to string;4;1;0;0;0;3;0.0;75.0;1;5;no obvious reason
;;;;;;;;;;;
for loop;2;1;0;0;0;1;0.0;50.0;1;1;no obvious reason
;;;;;;;;;;;
loop for 6 times;4;1;0;0;0;2;0.0;50.0;1;1;too specific
;;;;;;;;;;;
how to find list in string;6;3;0;0;1;2;16.67;33.33;1;5;no obvious reason
;;;;;;;;;;;
how to write bytes to a tcp socket stream?;9;2;0;0;1;4;11.11;44.44;1;5;no obvious reason
;;;;;;;;;;;
how to remove the disabled attribute with jquery;8;4;0;0;1;2;12.5;25.0;1;5;no obvious reason
;;;;;;;;;;;
How to call a REST API from PowerShell;8;2;0;0;1;3;12.5;37.5;1;5;non development
;;;;;;;;;;;
powershell custom type accelerator;4;0;0;0;0;4;0.0;100.0;1;5;non development
;;;;;;;;;;;
open a file in go;5;2;0;0;1;2;20.0;40.0;1;5;other language
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
How to disable blue notification badges on vscode;8;2;0;0;1;3;12.5;37.5;1;5;environment
;;;;;;;;;;;
hot to use deferred customactions;5;2;0;0;1;1;20.0;20.0;1;5;glued words
;;;;;;;;;;;
loop for 6 times;;;;;;;;;;;
;;;;;;;;;;;
Webflow interaction to react;4;1;0;0;1;2;25.0;50.0;1;5;other language
;;;;;;;;;;;
How to mix audio in ffmpeg?;6;2;0;0;1;2;16.67;33.33;1;5;no obvious reason
;;;;;;;;;;;
How to paginate results in Firebase;6;3;0;0;1;2;16.67;33.33;1;5;environment
;;;;;;;;;;;
How to define a class;5;1;0;0;1;1;20.0;20.0;1;5;no obvious reason
;;;;;;;;;;;
How to invert binary tree;5;1;0;0;1;1;20.0;20.0;1;5;no obvious reason
;;;;;;;;;;;
How to delete an element from hashMap by key;9;4;0;0;1;3;11.11;33.33;1;5;no obvious reason
;;;;;;;;;;;
how to find the size of a hashmap;8;4;0;0;1;2;12.5;25.0;1;1;no obvious reason
;;;;;;;;;;;
groupby substring in jpql query;5;1;0;0;0;3;0.0;60.0;1;5;no obvious reason
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
how to exit a wpf programm?;6;2;0;0;1;2;16.67;33.33;1;5;other language
;;;;;;;;;;;
how to generate uuid for spring data jdbc?;8;3;0;0;1;4;12.5;50.0;1;5;no obvious reason
;;;;;;;;;;;
how to create a window;5;2;0;0;1;1;20.0;20.0;1;5;no obvious reason
;;;;;;;;;;;
generate html from xpath;4;1;0;0;1;2;25.0;50.0;1;10;no obvious reason
;;;;;;;;;;;
what is a thread?;4;2;0;0;1;1;25.0;25.0;1;5;conceptual
;;;;;;;;;;;
split string by spaces;4;1;0;0;0;2;0.0;50.0;1;5;no obvious reason
;;;;;;;;;;;
Reverse each string in a list;6;2;0;0;0;2;0.0;33.33;1;5;too specific
;;;;;;;;;;;
Change fragment of Activity;4;1;0;0;0;3;0.0;75.0;1;5;no obvious reason
;;;;;;;;;;;
How to get IntelliJ to run my code?;8;4;0;0;2;2;25.0;25.0;1;5;environment
;;;;;;;;;;;
bigquery run query from file;5;2;0;0;0;4;0.0;80.0;1;5;environment
;;;;;;;;;;;
How can I force the text in the input field of the command line to sho;16;6;0;0;1;6;6.25;37.5;1;5;environment
;;;;;;;;;;;
find second last element of array;6;3;0;0;1;2;16.67;33.33;1;5;no obvious reason
;;;;;;;;;;;
print to console;3;1;0;0;1;1;33.33;33.33;1;5;no obvious reason
;;;;;;;;;;;
how do I reverse a byte array?;7;2;0;0;2;2;28.57;28.57;1;5;no obvious reason
;;;;;;;;;;;
remove an element from array;5;2;0;0;1;2;20.0;40.0;1;5;no obvious reason
;;;;;;;;;;;
How to make get request?;5;3;0;0;2;1;40.0;20.0;1;5;no obvious reason
;;;;;;;;;;;
how create an xor linked list;6;2;0;0;2;2;33.33;33.33;1;5;no obvious reason
;;;;;;;;;;;
What is size of long;5;2;0;0;1;1;20.0;20.0;1;5;conceptual
;;;;;;;;;;;
how garbage collection works;4;1;0;0;1;2;25.0;50.0;1;5;conceptual
;;;;;;;;;;;
how to convert from input stream to outputstream;8;3;0;0;2;2;25.0;25.0;1;5;no obvious reason
;;;;;;;;;;;
how to write test cases for angular2 form control;9;3;0;0;1;5;11.11;55.56;1;5;other language
;;;;;;;;;;;
how to merge two arrays;5;3;0;0;1;1;20.0;20.0;1;5;no obvious reason
;;;;;;;;;;;
How to sort ab array?;5;1;0;0;1;2;20.0;40.0;1;5;no obvious reason
;;;;;;;;;;;
how to add more memory;5;3;0;0;1;1;20.0;20.0;1;5;environment
;;;;;;;;;;;
How to calculate F-score;4;1;0;0;1;1;25.0;25.0;1;5;conceptual
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
"How to have a "" in a string java";9;3;0;0;1;2;11.11;22.22;1;5;no obvious reason
;;;;;;;;;;;
Create a class named BAa;5;0;0;0;2;2;40.0;40.0;1;5;no obvious reason
;;;;;;;;;;;
pandas drop duplicate indexes;4;0;0;0;2;2;50.0;50.0;1;5;other language
;;;;;;;;;;;
How to map multiple objects to DTO with MapStruct?;9;2;0;0;1;3;11.11;33.33;1;1;
;;;;;;;;;;;
how to make a get request in angularjs;8;5;0;0;2;2;25.0;25.0;1;10;other language
;;;;;;;;;;;
How do I map a function over a list in parallel?;11;3;0;0;2;3;18.18;27.27;1;5;no obvious reason
;;;;;;;;;;;
how to read a file into a string ?;9;4;0;0;1;2;11.11;22.22;1;5;no obvious reason
;;;;;;;;;;;
How to join two URLs?;5;2;0;0;1;1;20.0;20.0;1;5;no obvious reason
;;;;;;;;;;;
why is java bad;4;2;0;0;1;1;25.0;25.0;1;5;conceptual
;;;;;;;;;;;
how to deserialize json string to object with jackson;9;3;0;0;2;3;22.22;33.33;1;1;no obvious reason
;;;;;;;;;;;
How to verify optionnals;4;1;1;0;1;1;25.0;25.0;1;5;typo
;;;;;;;;;;;
App log in;3;1;0;0;0;2;0.0;66.67;1;5;typo
;;;;;;;;;;;
how  to draw string with different colors depending on the characters;11;6;0;0;2;3;18.18;27.27;1;5;no obvious reason
;;;;;;;;;;;
Animation in xojo;3;1;0;0;0;2;0.0;66.67;1;5;too specific
;;;;;;;;;;;
how to change a private field;6;2;0;0;1;1;16.67;16.67;1;5;no obvious reason
;;;;;;;;;;;
erase disk;2;0;0;0;1;1;50.0;50.0;1;5;environment
;;;;;;;;;;;
Dictionary;1;0;0;0;0;1;0.0;100.0;1;10;no obvious reason
;;;;;;;;;;;
how to calculate how many dead hookers fit in a trunk;11;4;1;0;2;2;18.18;18.18;1;5;joke
;;;;;;;;;;;
why would woodchucks whittle wood when whacking water would wield wet?;11;3;0;0;3;3;27.27;27.27;1;5;joke
;;;;;;;;;;;
is epstein alive;3;1;0;0;1;1;33.33;33.33;1;5;joke
;;;;;;;;;;;
How to write WCF service without SOAP action routing?;9;2;0;0;2;4;22.22;44.44;1;5;other language
;;;;;;;;;;;
How to convert an array of arrays to lists of lists?;11;3;0;0;1;3;9.09;27.27;1;5;too specific
;;;;;;;;;;;
How to stable sort an array;6;2;0;0;0;2;0.0;33.33;1;5;no obvious reason
;;;;;;;;;;;
how to parse yaml to data structure;7;2;0;0;1;3;14.29;42.86;1;5;no obvious reason
;;;;;;;;;;;
How to convert int to string;6;1;0;0;1;2;16.67;33.33;1;5;no obvious reason
;;;;;;;;;;;
how to remove every second element from a linked list;10;5;0;0;2;2;20.0;20.0;1;5;too specific
;;;;;;;;;;;
wrap lines in a paragraph;5;1;0;0;0;3;0.0;60.0;1;5;too specific
;;;;;;;;;;;
spring boot security remove default login;6;0;0;0;1;5;16.67;83.33;1;5;no obvious reason
;;;;;;;;;;;
How to declarate an abstract class;6;2;0;0;1;1;16.67;16.67;1;5;typo
;;;;;;;;;;;
merge k sorted lists;4;0;0;0;2;2;50.0;50.0;1;5;too specific
;;;;;;;;;;;
How to basic?;3;1;0;0;0;0;0.0;0.0;1;5;typo
;;;;;;;;;;;
how to prevent two threads from modifying the same variable at the sam;13;7;0;0;2;3;15.38;23.08;1;5;conceptual
;;;;;;;;;;;
how to declare a singleton;5;2;0;0;1;1;20.0;20.0;1;10;no obvious reason
;;;;;;;;;;;
cast char to int;4;1;0;0;2;1;50.0;25.0;1;5;no obvious reason
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
how to get number of element in a list;9;5;0;0;1;3;11.11;33.33;1;5;no obvious reason
;;;;;;;;;;;
how to read from the command line;7;5;0;0;1;2;14.29;28.57;1;5;environment
;;;;;;;;;;;
how do i declare a rest request handler;8;2;0;0;2;3;25.0;37.5;1;5;no obvious reason
;;;;;;;;;;;
How to create a HashMap?;5;1;0;0;1;1;20.0;20.0;1;5;no obvious reason
;;;;;;;;;;;
pip for java;3;1;0;0;0;2;0.0;66.67;1;5;environment
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Eclipse see workspace log;4;1;0;0;1;3;25.0;75.0;1;5;environment
;;;;;;;;;;;
kill all humans;3;1;0;0;1;1;33.33;33.33;1;5;joke
;;;;;;;;;;;
Read Json from a web app;6;1;0;0;0;4;0.0;66.67;1;1;no obvious reason
;;;;;;;;;;;
what is max int;4;2;0;0;1;2;25.0;50.0;1;5;conceptual
;;;;;;;;;;;
remove elements from an array;5;2;0;0;1;2;20.0;40.0;1;1;no obvious reason
;;;;;;;;;;;
How to speed-up eclipse;4;1;0;0;1;1;25.0;25.0;1;5;environment
;;;;;;;;;;;
Declare variable;2;0;0;0;1;1;50.0;50.0;1;1;no obvious reason
;;;;;;;;;;;
hot to define a class;5;1;0;0;1;1;20.0;20.0;1;5;conceptual
;;;;;;;;;;;
reversing an array of strings inline;6;2;0;0;2;2;33.33;33.33;1;5;no obvious reason
;;;;;;;;;;;
how to add icon to an .exe file;8;3;0;0;1;3;12.5;37.5;1;1;environment
;;;;;;;;;;;
convert list to hashmap;4;1;0;0;1;2;25.0;50.0;1;5;no obvious reason
;;;;;;;;;;;
jQuery in iframe?;3;1;0;0;0;2;0.0;66.67;1;10;other language
;;;;;;;;;;;
How to draw a boundary around a set of points;10;3;0;0;1;3;10.0;30.0;1;5;too specific
;;;;;;;;;;;
how to create full height slideshow buttons;7;2;0;0;1;3;14.29;42.86;1;10;
;;;;;;;;;;;
how to increase an integer;5;3;0;0;1;1;20.0;20.0;1;5;
;;;;;;;;;;;
hwo to change a method;5;1;0;0;1;2;20.0;40.0;1;5;
;;;;;;;;;;;
how to get system cpu count;6;3;0;0;1;3;16.67;50.0;1;5;
;;;;;;;;;;;
monkey sort;2;0;0;0;0;2;0.0;100.0;1;5;
;;;;;;;;;;;
typescript react defaultprops;3;0;0;0;1;2;33.33;66.67;1;5;
;;;;;;;;;;;
split string in chunks with defined lenght;7;2;0;0;1;3;14.29;42.86;1;5;
;;;;;;;;;;;
hot to coerce a string into an array of characters;10;4;0;0;1;3;10.0;30.0;1;5;
;;;;;;;;;;;
How to create main screen;5;1;0;0;1;1;20.0;20.0;1;5;
;;;;;;;;;;;
mp3 decoder;2;0;0;0;0;2;0.0;100.0;1;5;
;;;;;;;;;;;
How to write a file driver;6;1;0;0;1;2;16.67;33.33;1;5;
;;;;;;;;;;;
How to remove an entry from database;7;3;0;0;1;2;14.29;28.57;1;10;
;;;;;;;;;;;
How to deploy a rails app to heroku when the rails app is not in the r;17;6;0;0;2;4;11.76;23.53;1;5;
;;;;;;;;;;;
spring boot run jar;4;1;0;0;1;3;25.0;75.0;1;5;
;;;;;;;;;;;
command;1;0;0;0;0;1;0.0;100.0;1;5;
;;;;;;;;;;;
Primefaces menuitem width;3;0;0;0;0;3;0.0;100.0;1;5;
;;;;;;;;;;;
How to remove workgroup from array;6;2;0;0;1;2;16.67;33.33;1;5;
;;;;;;;;;;;
springboot;1;0;0;0;0;1;0.0;100.0;1;5;
;;;;;;;;;;;
how to use list;4;3;0;0;1;1;25.0;25.0;1;10;
;;;;;;;;;;;
how can i split a class;6;2;0;0;1;1;16.67;16.67;1;10;
;;;;;;;;;;;
hibernate stale exception;3;0;0;0;1;1;33.33;33.33;1;5;
;;;;;;;;;;;
how to edit minecraft minecart speed?;6;2;1;0;1;3;16.67;50.0;1;5;
;;;;;;;;;;;
P r int to standard out;6;2;0;0;0;3;0.0;50.0;1;5;
;;;;;;;;;;;
Print to standard out;4;2;0;0;1;0;25.0;0.0;1;5;
;;;;;;;;;;;
Difference& and &&;3;1;0;0;0;1;0.0;33.33;1;5;
;;;;;;;;;;;
spark reducer to count null value in Java;8;3;0;0;2;3;25.0;37.5;1;5;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
get file from ec2 url;5;2;0;0;1;3;20.0;60.0;1;5;
;;;;;;;;;;;
I d like to remove a single element from an array;10;4;0;0;2;2;20.0;20.0;1;5;
;;;;;;;;;;;
multiple path in makefile;4;1;0;0;0;2;0.0;50.0;1;5;
;;;;;;;;;;;
Stored procedures;2;0;0;0;1;1;50.0;50.0;1;10;
;;;;;;;;;;;
how to remove inside border decoration from JButton;8;4;0;0;1;3;12.5;37.5;1;5;
;;;;;;;;;;;
How to toggle a css class;6;1;0;0;1;2;16.67;33.33;1;5;
;;;;;;;;;;;
Compute normal distribution density;4;0;0;0;1;2;25.0;50.0;1;5;
;;;;;;;;;;;
download files from list of urls java;7;2;0;0;0;4;0.0;57.14;1;5;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
how to convert a number to a string;8;2;0;0;1;2;12.5;25.0;1;5;
;;;;;;;;;;;
how to prevent race conditions in go;7;4;0;0;1;3;14.29;42.86;1;5;
;;;;;;;;;;;
How does hashmap implement entry;5;1;0;0;2;2;40.0;40.0;1;5;
;;;;;;;;;;;
Hibernate;1;0;0;0;1;0;100.0;0.0;1;5;
;;;;;;;;;;;
how use future;3;2;0;0;1;1;33.33;33.33;1;5;
;;;;;;;;;;;
how create map;3;1;0;0;1;1;33.33;33.33;1;5;
;;;;;;;;;;;
opps;1;0;0;0;0;1;0.0;100.0;1;5;
;;;;;;;;;;;
sapui5 add a grid;4;0;0;0;1;2;25.0;50.0;1;5;
;;;;;;;;;;;
Rest API transformation;3;0;0;0;1;2;33.33;66.67;1;5;
;;;;;;;;;;;
how to change elasticsearch data location;6;2;0;0;1;2;16.67;33.33;1;5;
;;;;;;;;;;;
nanohttpd json service;3;0;0;0;0;3;0.0;100.0;1;5;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
labview empty file;3;0;0;0;0;2;0.0;66.67;1;5;
;;;;;;;;;;;
labview delete file content;4;0;0;0;1;3;25.0;75.0;1;5;
;;;;;;;;;;;
Opensaml module-inf open;3;0;0;0;0;2;0.0;66.67;1;5;
;;;;;;;;;;;
Create hasmap;2;0;0;0;1;1;50.0;50.0;1;5;
;;;;;;;;;;;
tabu search;2;0;0;0;0;2;0.0;100.0;1;5;
;;;;;;;;;;;
array sort;2;0;0;0;0;2;0.0;100.0;1;5;
;;;;;;;;;;;
how to remove element in array;6;3;0;0;1;2;16.67;33.33;1;10;
;;;;;;;;;;;
group by jpa;3;1;0;0;0;2;0.0;66.67;1;10;
;;;;;;;;;;;
Data Structure;2;0;0;0;0;2;0.0;100.0;1;10;
;;;;;;;;;;;
android do not concatenate text displayed with settext(). use resource;10;4;0;0;2;5;20.0;50.0;1;10;
;;;;;;;;;;;
How to saveAsTable with pyspark;5;2;0;0;0;1;0.0;20.0;1;10;
;;;;;;;;;;;
What is ews in office web add ins;8;2;0;0;2;3;25.0;37.5;1;10;
;;;;;;;;;;;
android find calling function;4;0;0;0;2;2;50.0;50.0;1;10;
;;;;;;;;;;;
how to scroll coordinator;4;2;0;0;1;1;25.0;25.0;1;10;
;;;;;;;;;;;
How to print something on the console?;7;4;0;0;1;2;14.29;28.57;1;1;
;;;;;;;;;;;
Unity OnApplicationQuit force close;4;0;1;0;0;4;0.0;100.0;1;10;
;;;;;;;;;;;
How to order a list using stream api?;8;2;0;0;2;3;25.0;37.5;1;10;
;;;;;;;;;;;
build an http REST API;5;1;0;0;1;2;20.0;40.0;1;10;
;;;;;;;;;;;
normalize two arrays based on standard curve;7;2;0;0;2;2;28.57;28.57;1;1;
;;;;;;;;;;;
reading files;2;0;0;0;1;1;50.0;50.0;1;10;
;;;;;;;;;;;
datables laravel;2;0;0;0;0;1;0.0;50.0;1;10;
;;;;;;;;;;;
how implement datatables plugin;4;1;0;0;1;2;25.0;50.0;1;10;
;;;;;;;;;;;
Barby code;2;0;1;0;0;2;0.0;100.0;1;10;
;;;;;;;;;;;
Pandas concatenate dataframes;3;0;0;0;0;3;0.0;100.0;1;10;
;;;;;;;;;;;
Limitar casas decimais;3;0;2;0;0;1;0.0;33.33;1;10;
;;;;;;;;;;;
how to dispose jframe;4;2;0;0;1;1;25.0;25.0;1;1;
;;;;;;;;;;;
how to remove element form link list;7;2;0;0;1;4;14.29;57.14;1;10;
;;;;;;;;;;;
fail to obtain db;4;2;0;0;2;1;50.0;25.0;1;10;
;;;;;;;;;;;
java string buffer;3;0;0;0;0;3;0.0;100.0;1;10;
;;;;;;;;;;;
write toml file;3;0;0;0;1;2;33.33;66.67;1;10;
;;;;;;;;;;;
write toml;2;0;0;0;1;1;50.0;50.0;1;10;
;;;;;;;;;;;
serialise toml;2;0;0;0;0;2;0.0;100.0;1;10;
;;;;;;;;;;;
toml;1;0;0;0;0;1;0.0;100.0;1;10;
;;;;;;;;;;;
finding my are;3;2;0;0;2;0;66.67;0.0;1;10;
;;;;;;;;;;;
How to obfuscate an in-memory jar file;7;2;0;0;1;2;14.29;28.57;1;10;
;;;;;;;;;;;
how to plot data;4;2;0;0;1;1;25.0;25.0;1;10;
;;;;;;;;;;;
how can I get the absolute value of an integer;10;7;0;0;1;2;10.0;20.0;1;10;
;;;;;;;;;;;
Json;1;0;0;0;0;1;0.0;100.0;1;10;
;;;;;;;;;;;
how to create singleton;4;2;0;0;1;1;25.0;25.0;2;5;
;;;;;;;;;;;
How to log data?;4;1;0;0;1;1;25.0;25.0;2;10;
;;;;;;;;;;;
Delete temporary files automatically;4;0;0;0;1;1;25.0;25.0;2;5;
;;;;;;;;;;;
HTML5 Canvas draw resizable grid;5;0;0;0;1;3;20.0;60.0;2;5;
;;;;;;;;;;;
how to fix cannot find symbol;6;4;0;0;2;1;33.33;16.67;2;5;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
How to filter a dtresm;5;1;1;0;0;2;0.0;40.0;2;5;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
how to iterate array of arrays;6;3;0;0;1;2;16.67;33.33;2;5;
;;;;;;;;;;;
how to reverse elements of an array;7;4;0;0;1;2;14.29;28.57;2;5;
;;;;;;;;;;;
How to handle json responses;5;1;0;0;1;2;20.0;40.0;2;5;
;;;;;;;;;;;
How do I extract only the overlaping keys in two objects;11;6;0;0;3;2;27.27;18.18;2;5;
;;;;;;;;;;;
using streams remove all special characters from a very large file;11;4;0;0;2;3;18.18;27.27;2;5;
;;;;;;;;;;;
How to delete an object;5;2;0;0;1;1;20.0;20.0;2;5;
;;;;;;;;;;;
load site definitions from magnolia jcr;6;1;0;0;0;5;0.0;83.33;2;5;
;;;;;;;;;;;
java stream to exactly one element;6;3;0;0;0;3;0.0;50.0;2;5;
;;;;;;;;;;;
how are annotations used;4;3;0;0;2;1;50.0;25.0;2;10;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
How to determine if a given date is a weekday;10;5;0;0;3;2;30.0;20.0;2;5;
;;;;;;;;;;;
resize array;2;0;0;0;1;1;50.0;50.0;2;5;
;;;;;;;;;;;
poll keystroke;2;0;0;0;0;2;0.0;100.0;2;10;
;;;;;;;;;;;
convert string to array;4;1;0;0;1;2;25.0;50.0;2;10;
;;;;;;;;;;;
Remove element in arraylist loop;5;1;0;0;1;3;20.0;60.0;2;1;
;;;;;;;;;;;
What is an array?;4;2;0;0;1;1;25.0;25.0;2;5;
;;;;;;;;;;;
How to convert a file to a uri;8;1;0;0;1;2;12.5;25.0;2;5;
;;;;;;;;;;;
call default method;3;0;0;0;0;3;0.0;100.0;2;5;
;;;;;;;;;;;
how to rollback git commit;5;2;0;0;1;2;20.0;40.0;2;5;
;;;;;;;;;;;
subscribe to queue;3;1;0;0;2;0;66.67;0.0;2;5;
;;;;;;;;;;;
how to remove an element from an ordered array;9;4;0;0;2;2;22.22;22.22;2;5;
;;;;;;;;;;;
How do I make a new scope in CDI;9;4;0;0;2;2;22.22;22.22;2;5;
;;;;;;;;;;;
How to remove objects in two dimensional list like structure;10;4;0;0;1;3;10.0;30.0;2;5;
;;;;;;;;;;;
How to connect to a websocket using a proxy?;9;2;0;0;2;2;22.22;22.22;2;5;
;;;;;;;;;;;
add column like excel;4;1;0;0;2;1;50.0;25.0;2;5;
;;;;;;;;;;;
Convert image to ascii;4;1;0;0;2;1;50.0;25.0;2;5;
;;;;;;;;;;;
what is the difference between an array and an arraylist;10;6;0;0;1;3;10.0;30.0;2;5;
;;;;;;;;;;;
print hello world;3;2;0;0;0;2;0.0;66.67;2;5;
;;;;;;;;;;;
How to unitest in java;5;2;0;0;1;1;20.0;20.0;2;5;
;;;;;;;;;;;
Create a socket;3;0;0;0;1;1;33.33;33.33;2;5;
;;;;;;;;;;;
