Processed Query;Total Tokens;Stop Words;Unknown Words;Method Calls;Verbs;Nouns;Proportion of Verbs;Proportion of Nouns;Likert;Answers;Query Problem
how to traverse a stream recursive;6;2;0;0;1;1;16.67;16.67;2;5;
;;;;;;;;;;;
what is a lambda expression?;5;2;0;0;1;2;20.0;40.0;2;5;
;;;;;;;;;;;
How to download a webseite;5;1;0;0;1;1;20.0;20.0;2;10;
;;;;;;;;;;;
get Text from a file;5;2;0;0;2;1;40.0;20.0;2;5;
;;;;;;;;;;;
what is call-by-name in java;5;3;0;0;1;2;20.0;40.0;2;5;
;;;;;;;;;;;
rtrim in java;3;1;0;0;0;2;0.0;66.67;2;5;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
How to read a text file line by line;9;3;0;0;1;3;11.11;33.33;2;5;
;;;;;;;;;;;
How to compare Integers;4;1;0;0;1;1;25.0;25.0;2;5;
;;;;;;;;;;;
Given an array of integers, return indices of the two numbers such tha;13;5;1;0;1;5;7.69;38.46;2;5;
;;;;;;;;;;;
how do I draw a cube on the screen;9;4;0;0;2;2;22.22;22.22;2;5;
;;;;;;;;;;;
how to write a for loop;6;3;0;0;1;1;16.67;16.67;2;5;
;;;;;;;;;;;
How do I make a string uppercase;7;2;0;0;2;2;28.57;28.57;2;5;
;;;;;;;;;;;
Count all prime numbers;4;1;0;0;1;1;25.0;25.0;2;5;
;;;;;;;;;;;
how to remove one element from an vector?;8;5;0;0;1;2;12.5;25.0;2;5;
;;;;;;;;;;;
Fill Array;2;0;0;0;1;1;50.0;50.0;2;5;
;;;;;;;;;;;
Okhttp log queries;3;0;0;0;0;3;0.0;100.0;2;5;
;;;;;;;;;;;
remove item from stream;4;1;0;0;1;2;25.0;50.0;2;5;
;;;;;;;;;;;
how to bind postgres jsonb with jdbi3;7;3;0;0;1;3;14.29;42.86;2;5;
;;;;;;;;;;;
change log levels in spring cloud;6;1;0;0;0;5;0.0;83.33;2;5;
;;;;;;;;;;;
How to implement an undo manager functionally;7;2;0;0;2;1;28.57;14.29;2;5;
;;;;;;;;;;;
webform alternative;2;0;0;0;0;1;0.0;50.0;2;10;
;;;;;;;;;;;
How to create folders;4;1;0;0;1;1;25.0;25.0;2;5;
;;;;;;;;;;;
Asynchronous nio download file from url;6;1;0;0;0;4;0.0;66.67;2;5;
;;;;;;;;;;;
how do I get json from a rest API endpoint;10;4;0;0;2;4;20.0;40.0;2;5;
;;;;;;;;;;;
spring controller inherit method request mapping;6;0;0;0;1;5;16.67;83.33;2;10;
;;;;;;;;;;;
How to format a date;5;2;0;0;0;2;0.0;40.0;2;5;
;;;;;;;;;;;
how to resolve mismatched dependencies;5;2;0;0;1;1;20.0;20.0;2;5;
;;;;;;;;;;;
loop on array and change value;6;3;0;0;0;4;0.0;66.67;2;10;
;;;;;;;;;;;
how to save uri in sharedpreference;6;3;0;0;1;2;16.67;33.33;2;10;
;;;;;;;;;;;
remove 5th element from array;5;1;0;0;1;2;20.0;40.0;2;10;
;;;;;;;;;;;
equivalent of dictionary;3;1;0;0;0;2;0.0;66.67;2;10;
;;;;;;;;;;;
instantiate a class;3;0;0;0;1;1;33.33;33.33;2;10;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
How to read keyboard;4;1;0;0;1;1;25.0;25.0;2;10;
;;;;;;;;;;;
modify properties in properties file;5;1;0;0;1;2;20.0;40.0;2;10;
;;;;;;;;;;;
implement masstransit;2;0;0;0;1;1;50.0;50.0;2;10;
;;;;;;;;;;;
how to splice from an array;6;4;0;0;0;2;0.0;33.33;2;10;
;;;;;;;;;;;
Connect to api;3;1;0;0;2;0;66.67;0.0;2;10;
;;;;;;;;;;;
stream only one result;4;2;0;0;0;2;0.0;50.0;2;10;
;;;;;;;;;;;
upgrading jdk;2;0;0;0;1;1;50.0;50.0;2;10;
;;;;;;;;;;;
how to open an ssl connection;6;3;0;0;1;2;16.67;33.33;3;5;
;;;;;;;;;;;
how to insert an element array in a given position;10;5;0;0;2;3;20.0;30.0;3;10;
;;;;;;;;;;;
How to print 'hello world'?;5;1;0;0;1;1;20.0;20.0;3;5;
;;;;;;;;;;;
HTML5 Canvas draw sizable grid;5;0;0;0;1;3;20.0;60.0;3;5;
;;;;;;;;;;;
How to run js in java;6;3;0;0;1;2;16.67;33.33;3;5;
;;;;;;;;;;;
How parse email;3;0;0;0;0;1;0.0;33.33;3;5;
;;;;;;;;;;;
how to display a calendar;5;2;0;0;1;1;20.0;20.0;3;5;
;;;;;;;;;;;
How to accept super type in generics;7;2;0;0;1;2;14.29;28.57;3;5;
;;;;;;;;;;;
How to turn array into string;6;2;0;0;1;2;16.67;33.33;3;5;
;;;;;;;;;;;
How would you call an api?;6;3;0;0;1;1;16.67;16.67;3;5;
;;;;;;;;;;;
how to implement a steiner tree?;6;2;0;0;1;2;16.67;33.33;3;5;
;;;;;;;;;;;
How to get the nth character from a string;9;4;0;0;1;2;11.11;22.22;3;5;
;;;;;;;;;;;
collectors tomap with null values;5;1;0;0;1;2;20.0;40.0;3;5;
;;;;;;;;;;;
get string data from url;5;2;0;0;1;3;20.0;60.0;3;5;
;;;;;;;;;;;
send http request asynchronously;4;0;0;0;1;2;25.0;50.0;3;5;
;;;;;;;;;;;
How to make one class inherit from more than one class?;11;6;0;0;2;1;18.18;9.09;3;5;
;;;;;;;;;;;
Create a list of hashes;5;1;0;0;1;2;20.0;40.0;3;10;
;;;;;;;;;;;
How to avoid integer division;5;1;0;0;1;2;20.0;40.0;3;5;
;;;;;;;;;;;
how to push to array;5;2;0;0;1;1;20.0;20.0;3;5;
;;;;;;;;;;;
How to add two numbers?;5;2;0;0;1;1;20.0;20.0;3;5;
;;;;;;;;;;;
how to sort an array;5;3;0;0;1;1;20.0;20.0;3;5;
;;;;;;;;;;;
how to avoid concurrent modification exception;6;2;0;0;1;2;16.67;33.33;3;5;
;;;;;;;;;;;
difference between string and stringbuilder;5;2;0;0;0;3;0.0;60.0;3;5;
;;;;;;;;;;;
How to join two URL?;5;2;0;0;1;1;20.0;20.0;3;5;
;;;;;;;;;;;
http request;2;0;0;0;0;1;0.0;50.0;3;5;
;;;;;;;;;;;
append;1;0;0;0;0;0;0.0;0.0;3;5;
;;;;;;;;;;;
map video onto sphere;4;1;0;0;0;3;0.0;75.0;3;5;
;;;;;;;;;;;
Remove a substring from a string;6;1;0;0;1;2;16.67;33.33;3;5;
;;;;;;;;;;;
concatenate two arrays;3;1;0;0;0;2;0.0;66.67;3;5;
;;;;;;;;;;;
edit a tree;3;0;0;0;1;1;33.33;33.33;3;5;
;;;;;;;;;;;
redirect stdin;2;0;0;0;1;1;50.0;50.0;3;5;
;;;;;;;;;;;
Get Size of an Array;5;2;0;0;1;2;20.0;40.0;3;5;
;;;;;;;;;;;
how to write an event store;6;3;0;0;1;2;16.67;33.33;3;5;
;;;;;;;;;;;
how can i give my program arguments;7;4;0;0;1;2;14.29;28.57;3;5;
;;;;;;;;;;;
how to clone an object;5;3;0;0;0;2;0.0;40.0;3;5;
;;;;;;;;;;;
how do i read a file line by line;9;4;0;0;2;2;22.22;22.22;3;5;
;;;;;;;;;;;
how do i generate a cryptographic checksum;7;2;0;0;2;1;28.57;14.29;3;5;
;;;;;;;;;;;
why is sorting slow!;4;2;0;0;2;0;50.0;0.0;3;5;
;;;;;;;;;;;
iterative traverse a tree;4;0;0;0;0;2;0.0;50.0;3;5;
;;;;;;;;;;;
upload file to amazon s3;5;1;0;0;1;3;20.0;60.0;3;5;
;;;;;;;;;;;
How to open a socket?;5;1;0;0;1;1;20.0;20.0;3;5;
;;;;;;;;;;;
string to int in typescript;5;2;0;0;1;2;20.0;40.0;3;5;
;;;;;;;;;;;
string to int;3;1;0;0;1;1;33.33;33.33;3;5;
;;;;;;;;;;;
spring boot default encoding;4;0;0;0;1;3;25.0;75.0;3;10;
;;;;;;;;;;;
Async function with await;4;1;0;0;1;2;25.0;50.0;3;5;
;;;;;;;;;;;
How to add spring security to spring boot;8;1;0;0;1;3;12.5;37.5;3;5;
;;;;;;;;;;;
spring boot transaction;3;0;0;0;0;3;0.0;100.0;3;5;
;;;;;;;;;;;
How to count words in a string;7;3;0;0;1;2;14.29;28.57;3;5;
;;;;;;;;;;;
how do i write a lambda expression;7;2;0;0;2;2;28.57;28.57;3;5;
;;;;;;;;;;;
Multithread deadlock;2;0;0;0;0;1;0.0;50.0;3;5;
;;;;;;;;;;;
Sort array of objects by key;6;2;0;0;0;4;0.0;66.67;3;5;
;;;;;;;;;;;
how to remove element from array;6;3;0;0;1;2;16.67;33.33;3;5;
;;;;;;;;;;;
How to create an array with no limits;8;4;0;0;1;2;12.5;25.0;3;5;
;;;;;;;;;;;
microservices;1;0;0;0;0;1;0.0;100.0;3;5;
;;;;;;;;;;;
Play music;2;0;0;0;1;1;50.0;50.0;3;5;
;;;;;;;;;;;
image div;2;0;0;0;0;2;0.0;100.0;3;5;
;;;;;;;;;;;
convert a date to a string;6;2;0;0;1;2;16.67;33.33;3;5;
;;;;;;;;;;;
manage duplicate photos;3;0;0;0;2;1;66.67;33.33;3;5;
;;;;;;;;;;;
BIGDECIMAL division;2;0;0;0;0;2;0.0;100.0;3;5;
;;;;;;;;;;;
Make a while loop;4;1;0;0;1;2;25.0;50.0;3;5;
;;;;;;;;;;;
how to create jenkins subversion web hook;7;2;0;0;1;4;14.29;57.14;3;10;
;;;;;;;;;;;
How to configure ejb timer service;6;1;0;0;1;3;16.67;50.0;3;5;
;;;;;;;;;;;
How to create an array in java;7;3;0;0;1;2;14.29;28.57;3;5;
;;;;;;;;;;;
intended espresso;2;0;0;0;0;1;0.0;50.0;3;5;
;;;;;;;;;;;
Call a method;3;0;0;0;1;1;33.33;33.33;3;10;
;;;;;;;;;;;
integrate graphql to project;4;1;0;0;1;2;25.0;50.0;3;10;
;;;;;;;;;;;
how to remove the second element of a list;9;5;0;0;1;2;11.11;22.22;3;5;
;;;;;;;;;;;
Rest api batch;3;0;0;0;1;2;33.33;66.67;3;10;
;;;;;;;;;;;
vertx;1;0;0;0;0;1;0.0;100.0;3;10;
;;;;;;;;;;;
custom http request method;4;0;0;0;0;4;0.0;100.0;3;5;
;;;;;;;;;;;
how to customize background color filling;6;2;0;0;2;2;33.33;33.33;3;10;
;;;;;;;;;;;
how to add context path in apache tomcat;8;3;0;0;1;3;12.5;37.5;3;10;
;;;;;;;;;;;
How to run scheduled jobs;5;2;0;0;1;1;20.0;20.0;3;10;
;;;;;;;;;;;
How to use jason;4;2;0;0;1;1;25.0;25.0;3;10;
;;;;;;;;;;;
android countdown timer;3;0;0;0;0;3;0.0;100.0;4;10;
;;;;;;;;;;;
How to add two lists;5;2;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
get type information of generic;5;3;0;0;1;2;20.0;40.0;4;5;
;;;;;;;;;;;
convert dictionary to array;4;1;0;0;1;2;25.0;50.0;4;5;
;;;;;;;;;;;
How to remove element from an array;7;3;0;0;1;2;14.29;28.57;4;5;
;;;;;;;;;;;
How to convert a string to an int;8;2;0;0;1;2;12.5;25.0;4;5;
;;;;;;;;;;;
create a directory structure recursively;5;0;0;0;1;2;20.0;40.0;4;5;
;;;;;;;;;;;
connect to ssh;3;1;0;0;2;0;66.67;0.0;4;5;
;;;;;;;;;;;
Instant from timestamp;3;1;0;0;0;1;0.0;33.33;4;5;
;;;;;;;;;;;
Call a REST API;4;0;0;0;1;2;25.0;50.0;4;5;
;;;;;;;;;;;
How to calculate cumulative hash;5;1;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
convert integer to string;4;1;0;0;1;2;25.0;50.0;4;5;
;;;;;;;;;;;
How to find the largest product of two numbers less than 1000 that is;14;8;0;0;2;2;14.29;14.29;4;5;
;;;;;;;;;;;
generate regex for indian phone number;6;1;0;0;1;3;16.67;50.0;4;5;
;;;;;;;;;;;
perform regex to extract date from string;7;3;0;0;1;4;14.29;57.14;4;10;
;;;;;;;;;;;
How to count multiple occurrences in string?;7;2;0;0;1;2;14.29;28.57;4;10;
;;;;;;;;;;;
How should I combine strings?;5;1;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
spring data delete a single column;6;0;0;0;1;3;16.67;50.0;4;5;
;;;;;;;;;;;
convert numeric date to alphanumeric date;6;2;0;0;1;1;16.67;16.67;4;5;
;;;;;;;;;;;
Why is do I get zero when I should get a fraction?;12;6;0;0;3;1;25.0;8.33;4;5;
;;;;;;;;;;;
How to run concurrent jobs;5;2;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
How to save data to a file;7;1;0;0;1;2;14.29;28.57;4;5;
;;;;;;;;;;;
how to filter elements of an array;7;4;0;0;0;3;0.0;42.86;4;5;
;;;;;;;;;;;
how to handle exception;4;2;0;0;1;1;25.0;25.0;4;5;
;;;;;;;;;;;
JavaFx progressbar;2;0;0;0;0;2;0.0;100.0;4;10;
;;;;;;;;;;;
how to add an element to a linked list;9;3;0;0;2;2;22.22;22.22;4;5;
;;;;;;;;;;;
How to output custom date string;6;2;0;0;0;4;0.0;66.67;4;5;
;;;;;;;;;;;
how to create main class;5;2;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
How to remove an element from arraylist;7;3;0;0;1;2;14.29;28.57;4;5;
;;;;;;;;;;;
How to implement neural network;5;1;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
How to make a class immutable?;6;2;0;0;1;1;16.67;16.67;4;5;
;;;;;;;;;;;
How do i create my own hashcode function?;8;3;0;0;2;2;25.0;25.0;4;5;
;;;;;;;;;;;
hashmap;1;0;0;0;0;1;0.0;100.0;4;1;
;;;;;;;;;;;
How to sort an array?;5;2;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
how to add elements of a list;7;3;0;0;1;2;14.29;28.57;4;5;
;;;;;;;;;;;
Shuffle a list;3;0;0;0;1;1;33.33;33.33;4;5;
;;;;;;;;;;;
java spring multiple components use single kafka producer;8;1;0;0;1;4;12.5;50.0;4;5;
;;;;;;;;;;;
traipse a directory tree;4;0;1;0;1;2;25.0;50.0;4;5;
;;;;;;;;;;;
How do I press a button in Java Swing when I press enter?;13;3;0;0;3;3;23.08;23.08;4;5;
;;;;;;;;;;;
how to parse html in java ?;7;4;0;0;1;2;14.29;28.57;4;5;
;;;;;;;;;;;
how to create a geotiff;5;2;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
what is an iterator;4;3;0;0;1;1;25.0;25.0;4;10;
;;;;;;;;;;;
how to remove duplicates;4;2;0;0;1;1;25.0;25.0;4;5;
;;;;;;;;;;;
add a config file to my program at launch;9;3;0;0;1;4;11.11;44.44;4;5;
;;;;;;;;;;;
connect to multiple monitors displays;5;1;0;0;1;2;20.0;40.0;4;5;
;;;;;;;;;;;
How to remove an element from an array?;8;3;0;0;1;2;12.5;25.0;4;5;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
How to make ascii art;5;2;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
how delete element from array;5;2;0;0;1;2;20.0;40.0;4;5;
;;;;;;;;;;;
how do I append another list to a existing one?;10;4;0;0;3;1;30.0;10.0;4;5;
;;;;;;;;;;;
How to implement a method?;5;1;0;0;1;1;20.0;20.0;4;10;
;;;;;;;;;;;
how increment a variable;4;1;0;0;0;2;0.0;50.0;4;5;
;;;;;;;;;;;
create a random number;4;0;0;0;1;1;25.0;25.0;4;5;
;;;;;;;;;;;
what means generic;3;2;0;0;0;1;0.0;33.33;4;5;
;;;;;;;;;;;
How to sort a list;5;1;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
How to disable TLSv1.3;4;1;0;0;1;2;25.0;50.0;4;5;
;;;;;;;;;;;
how to parse an csv file;6;3;0;0;1;2;16.67;33.33;4;5;
;;;;;;;;;;;
how to formate date;4;3;0;0;1;1;25.0;25.0;4;5;
;;;;;;;;;;;
What is the syntax for a method reference;8;3;0;0;1;3;12.5;37.5;4;5;
;;;;;;;;;;;
copy arrray;2;0;0;0;0;2;0.0;100.0;4;5;
;;;;;;;;;;;
how to pass by reference;5;3;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
Switch with strings;3;1;0;0;1;1;33.33;33.33;4;5;
;;;;;;;;;;;
How to stream objects to their ids;7;2;0;0;0;3;0.0;42.86;4;5;
;;;;;;;;;;;
Batch synchronize interface data;4;0;0;0;0;4;0.0;100.0;4;10;
;;;;;;;;;;;
loop over list;3;1;0;0;0;2;0.0;66.67;4;5;
;;;;;;;;;;;
columns with apache poi;4;1;0;0;0;2;0.0;50.0;4;5;
;;;;;;;;;;;
simple api;2;0;0;0;0;1;0.0;50.0;4;5;
;;;;;;;;;;;
How to write a hello world program;7;3;0;0;1;2;14.29;28.57;4;5;
;;;;;;;;;;;
how to download a csv file;6;2;0;0;1;2;16.67;33.33;4;5;
;;;;;;;;;;;
Iterate over an array;4;2;0;0;1;1;25.0;25.0;4;5;
;;;;;;;;;;;
collection java;2;0;0;0;0;2;0.0;100.0;4;5;
;;;;;;;;;;;
Sort intergers from highest to lowest;6;2;0;0;0;2;0.0;33.33;4;5;
;;;;;;;;;;;
create text file;3;0;0;0;1;2;33.33;66.67;4;5;
;;;;;;;;;;;
mqtt;1;0;0;0;0;1;0.0;100.0;4;5;
;;;;;;;;;;;
how to create a singleton;5;2;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
How to copy a array;5;1;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
AsynchronousByteChannel;1;0;0;0;0;1;0.0;100.0;4;5;
;;;;;;;;;;;
how convert integer to string;5;2;0;0;1;2;20.0;40.0;4;5;
;;;;;;;;;;;
create a dictionary;3;0;0;0;1;1;33.33;33.33;4;5;
;;;;;;;;;;;
How to list all jobs in quartz;7;3;0;0;1;2;14.29;28.57;4;5;
;;;;;;;;;;;
How to debug kerberos issues;5;1;0;0;1;2;20.0;40.0;4;5;
;;;;;;;;;;;
load external jar file with custom classes;7;1;0;0;0;5;0.0;71.43;4;5;
;;;;;;;;;;;
Write web services;3;0;0;0;1;2;33.33;66.67;4;5;
;;;;;;;;;;;
spring aop;2;0;0;0;0;1;0.0;50.0;4;5;
;;;;;;;;;;;
How to create a thread;5;1;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
How to multithread a collection;5;1;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
how to add an element to array;7;3;0;0;1;2;14.29;28.57;4;5;
;;;;;;;;;;;
thread in java;3;1;0;0;0;2;0.0;66.67;4;5;
;;;;;;;;;;;
how to create a SAM;5;2;0;0;1;1;20.0;20.0;4;5;
;;;;;;;;;;;
get last four character of string;6;4;0;0;1;2;16.67;33.33;4;5;
;;;;;;;;;;;
transferFrom java nio loop;4;0;0;0;0;4;0.0;100.0;4;5;
;;;;;;;;;;;
amex card rest api;4;0;0;0;0;3;0.0;75.0;4;10;
;;;;;;;;;;;
How to make a variable changed listener?;7;2;0;0;1;1;14.29;14.29;4;10;
;;;;;;;;;;;
How Can i protect my Post Route;7;1;0;0;1;2;14.29;28.57;4;10;
;;;;;;;;;;;
how to call a api from spring;7;3;0;0;1;2;14.29;28.57;4;10;
;;;;;;;;;;;
What is super keyword?;4;1;0;0;1;1;25.0;25.0;4;10;
;;;;;;;;;;;
use generics;2;1;0;0;0;2;0.0;100.0;4;10;
;;;;;;;;;;;
How to print colors;4;1;0;0;1;1;25.0;25.0;4;10;
;;;;;;;;;;;
How to access a private member;6;1;0;0;1;1;16.67;16.67;4;10;
;;;;;;;;;;;
get sum of array;4;2;0;0;1;2;25.0;50.0;4;10;
;;;;;;;;;;;
how to send data asynchronously;5;2;0;0;1;1;20.0;20.0;4;10;
;;;;;;;;;;;
create an events system;4;1;0;0;1;2;25.0;50.0;4;10;
;;;;;;;;;;;
How to sort list of strings by ascending order?;9;3;0;0;2;3;22.22;33.33;4;10;
;;;;;;;;;;;
datetime to uinix timestamp;4;1;1;0;1;2;25.0;50.0;4;10;
;;;;;;;;;;;
break a loope when conditions is finded;7;2;0;0;3;2;42.86;28.57;4;10;
;;;;;;;;;;;
create zip no compression STORED;5;1;0;0;2;2;40.0;40.0;4;10;
;;;;;;;;;;;
url to absolute path;4;1;0;0;0;2;0.0;50.0;4;10;
;;;;;;;;;;;
How to remove duplicates from array?;6;2;0;0;1;2;16.67;33.33;5;5;
;;;;;;;;;;;
Java load file from classpath;5;1;0;0;0;4;0.0;80.0;5;5;
;;;;;;;;;;;
can we add multiple base packages to spring component scanning;10;3;0;0;2;4;20.0;40.0;5;5;
;;;;;;;;;;;
how to reverse a list;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
how to remove an element from array;7;4;0;0;1;2;14.29;28.57;5;1;
;;;;;;;;;;;
Move mouse;2;0;0;0;1;1;50.0;50.0;5;5;
;;;;;;;;;;;
How to add to the beginning of an array;9;5;0;0;1;2;11.11;22.22;5;5;
;;;;;;;;;;;
add to end of array;5;3;0;0;2;1;40.0;20.0;5;5;
;;;;;;;;;;;
Static meabing;2;0;1;0;1;0;50.0;0.0;5;10;
;;;;;;;;;;;
How to remove an element from an Array?;8;3;0;0;1;2;12.5;25.0;5;5;
;;;;;;;;;;;
sort ip addresses;3;0;0;0;0;3;0.0;100.0;5;5;
;;;;;;;;;;;
How to iterate over elements in an ArrayList?;8;4;0;0;1;2;12.5;25.0;5;5;
;;;;;;;;;;;
How to escape characters in json;6;2;0;0;1;2;16.67;33.33;5;5;
;;;;;;;;;;;
How to get all the keys in a dictionary?;9;6;0;0;1;2;11.11;22.22;5;5;
;;;;;;;;;;;
how to convert a Integer stream to int array;9;2;0;0;2;3;22.22;33.33;5;5;
;;;;;;;;;;;
remove element from array;4;1;0;0;1;2;25.0;50.0;5;1;
;;;;;;;;;;;
instantiate through reflection;3;1;0;0;1;1;33.33;33.33;5;5;
;;;;;;;;;;;
how to get context in a static method on android;10;5;0;0;1;3;10.0;30.0;5;5;
;;;;;;;;;;;
How to remove an element from an array;8;3;0;0;1;2;12.5;25.0;5;10;
;;;;;;;;;;;
How to flatten an array;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
websocket;1;0;0;0;0;1;0.0;100.0;5;5;
;;;;;;;;;;;
How to build rest service in java;7;2;0;0;1;3;14.29;42.86;5;5;
;;;;;;;;;;;
Count all characters in the text and return top 5 characters;11;4;1;0;1;3;9.09;27.27;5;5;
;;;;;;;;;;;
How to remove an element from array;7;3;0;0;1;2;14.29;28.57;5;5;
;;;;;;;;;;;
protect xxe;2;0;0;0;1;1;50.0;50.0;5;5;
;;;;;;;;;;;
How to declare a recursive tree data structure;8;1;0;0;1;3;12.5;37.5;5;5;
;;;;;;;;;;;
White HTTP post request;4;0;0;0;0;4;0.0;100.0;5;5;
;;;;;;;;;;;
Convert string to a number;5;1;0;0;1;2;20.0;40.0;5;5;
;;;;;;;;;;;
how to sort characters in a string;7;3;0;0;1;2;14.29;28.57;5;5;
;;;;;;;;;;;
string concatenation;2;0;0;0;0;2;0.0;100.0;5;5;
;;;;;;;;;;;
turn char array into string;5;1;0;0;1;3;20.0;60.0;5;5;
;;;;;;;;;;;
How would you read a file?;6;2;0;0;1;1;16.67;16.67;5;5;
;;;;;;;;;;;
how to make the computer call the police on me;10;6;0;0;2;2;20.0;20.0;5;5;
;;;;;;;;;;;
how to get the length of a string;8;5;0;0;1;2;12.5;25.0;5;5;
;;;;;;;;;;;
inputstream to string;3;1;0;0;0;2;0.0;66.67;5;5;
;;;;;;;;;;;
how to sort array;4;2;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
convert string to integer;4;1;0;0;1;2;25.0;50.0;5;5;
;;;;;;;;;;;
regex to remove numbers;4;1;0;0;1;2;25.0;50.0;5;5;
;;;;;;;;;;;
How to add an element to an array;8;2;0;0;1;2;12.5;25.0;5;5;
;;;;;;;;;;;
how to perform base64 encoding;5;2;0;0;1;2;20.0;40.0;5;5;
;;;;;;;;;;;
How to read from a serial port;7;2;0;0;1;1;14.29;14.29;5;5;
;;;;;;;;;;;
How to return the contents of a file as a string;11;4;1;0;1;3;9.09;27.27;5;5;
;;;;;;;;;;;
create a list;3;0;0;0;1;1;33.33;33.33;5;5;
;;;;;;;;;;;
what is the difference between inheritance and extension;8;5;0;0;1;3;12.5;37.5;5;5;
;;;;;;;;;;;
How to add two numbers;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
how to print to screen;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
remove newlines;2;0;0;0;1;1;50.0;50.0;5;5;
;;;;;;;;;;;
hashtable and hashmap difference;4;1;0;0;0;2;0.0;50.0;5;5;
;;;;;;;;;;;
Get parent class name;4;1;0;0;1;3;25.0;75.0;5;5;
;;;;;;;;;;;
